NOPD_Item,Type_,TypeText,MapX,MapY,TimeCreate,TimeDispatch,TimeClosed,Disposition,DispositionText,BLOCK_ADDRESS,Zip
B3694314,98,DRIVING WHILE UNDER INFLUENCE,3672620,531198,2/28/2014 22:18:36,2/28/2014 22:25:42,3/1/2014 01:49:52,NAT,Necessary Action Taken,Earhart Blvd & S Broad St,70125
L0116914,98,DRIVING WHILE UNDER INFLUENCE,3664983,516446,12/1/2014 22:26:48,12/2/2014 00:36:42,12/2/2014 04:00:04,NAT,Necessary Action Taken,XX Nashville Ave,
H1726414,98,DRIVING WHILE UNDER INFLUENCE,3662482,525046,8/14/2014 00:18:02,,8/14/2014 01:16:14,NAT,Necessary Action Taken,St Charles Ave & Lowerline St (2D01),70118
C0002014,98,DRIVING WHILE UNDER INFLUENCE,3667833,526592,3/1/2014 00:21:33,3/1/2014 01:37:16,3/1/2014 04:14:09,NAT,Necessary Action Taken,S Claiborne Ave (2N02) & Joseph St,70125
H1733014,98,DRIVING WHILE UNDER INFLUENCE,3681761,530175,8/14/2014 01:22:07,,8/14/2014 03:10:29,NAT,Necessary Action Taken,005XX Canal St,70130
H1737214,98,DRIVING WHILE UNDER INFLUENCE,3665747,522438,8/14/2014 02:32:54,,8/14/2014 03:12:52,NAT,Necessary Action Taken,Saint Charles Ave & State St,70115
L0127914,98,DRIVING WHILE UNDER INFLUENCE,3673868,539376,12/2/2014 01:33:19,12/2/2014 01:33:19,12/2/2014 03:31:02,NAT,Necessary Action Taken,008XX Taft Pl,70119
D3432714,98,DRIVING WHILE UNDER INFLUENCE,3680788,533384,4/26/2014 02:10:42,,4/26/2014 03:16:40,VOI,VOID,012XX Basin St,70112
D3432814,98,DRIVING WHILE UNDER INFLUENCE,3680788,533384,4/26/2014 02:11:14,4/26/2014 02:11:14,4/26/2014 03:52:46,NAT,Necessary Action Taken,012XX Basin St,70112
D3438314,98,DRIVING WHILE UNDER INFLUENCE,3678585,524474,4/26/2014 03:31:30,4/26/2014 03:31:30,4/26/2014 04:45:26,NAT,Necessary Action Taken,Saint Charles Ave & Felicity St (6E03),70130
D3444314,98,DRIVING WHILE UNDER INFLUENCE,3664019,525733,4/26/2014 05:15:46,4/26/2014 05:15:46,4/26/2014 06:40:33,NAT,Necessary Action Taken,Freret St & Audubon St,70118
D3444814,98,DRIVING WHILE UNDER INFLUENCE,3685035,534887,4/26/2014 05:21:50,4/26/2014 05:21:50,4/26/2014 06:24:23,NAT,Necessary Action Taken,007XX Elysian Fields Ave,70116
L0133014,98,DRIVING WHILE UNDER INFLUENCE,3665226,519072,12/2/2014 03:57:30,,12/2/2014 04:59:09,NAT,Necessary Action Taken,Magazine St & Eleonore St,70115
C0028914,98,DRIVING WHILE UNDER INFLUENCE,3690558,522536,3/1/2014 05:03:08,,3/1/2014 05:03:08,NAT,Necessary Action Taken,Westbank Expy & General De Gaulle Dr,70114
H1858214,98,DRIVING WHILE UNDER INFLUENCE,3675792,517963,8/14/2014 23:48:09,8/14/2014 23:48:09,8/15/2014 01:17:16,NAT,Necessary Action Taken,Tchoupitoulas St & Louisiana Ave (6A03),70115
H1859214,98,DRIVING WHILE UNDER INFLUENCE,3675792,517963,8/14/2014 23:57:43,,8/15/2014 01:16:08,NAT,Necessary Action Taken,Tchoupitoulas St & Louisiana Ave (6A03),70115
H1860414,98,DRIVING WHILE UNDER INFLUENCE,3675792,517963,8/15/2014 00:03:22,8/15/2014 00:03:22,8/15/2014 01:32:01,NAT,Necessary Action Taken,Louisiana Ave (6A03) & Tchoupitoulas St,70115
C0033414,98,DRIVING WHILE UNDER INFLUENCE,3696244,534199,3/1/2014 06:10:21,3/1/2014 06:20:11,3/1/2014 08:48:27,NAT,Necessary Action Taken,051XX Saint Claude Ave,70117
H1861314,98,DRIVING WHILE UNDER INFLUENCE,3675792,517963,8/15/2014 00:16:42,8/15/2014 00:16:42,8/15/2014 01:08:24,NAT,Necessary Action Taken,Tchoupitoulas St & Louisiana Ave (6A03),70115
H1863614,98,DRIVING WHILE UNDER INFLUENCE,3675792,517963,8/15/2014 00:43:25,8/15/2014 00:43:25,8/15/2014 00:44:09,NAT,Necessary Action Taken,Tchoupitoulas St & Louisiana Ave (6A03),70115
H1866914,98,DRIVING WHILE UNDER INFLUENCE,3675792,517963,8/15/2014 01:35:08,8/15/2014 01:35:08,8/15/2014 02:22:12,NAT,Necessary Action Taken,Louisiana Ave (6A03) & Tchoupitoulas St,70115
